Column1.designation,number of wines of this variety,mean points,standard deviation of mean points
1st Degree Medium Dry,2,85.5,3.5355339059327378
2 2 1,1,91.0,
2 Dijon Clones,1,89.0,
2 Duas Castas,1,88.0,
2 Duas Castas Gouveio-Verdelho,1,89.0,
2 Finques Vi de Guarda Carinyena,1,87.0,
2 Jakes,1,85.0,
2 Jakes Red Blend,1,85.0,
2 Spires,4,90.25,0.4999999999999988
2 Spires Red,3,87.33333333333333,2.516611478423585
2 Tintos Petit Verdot-Alicante Bouschet,1,93.0,
2 Worlds,1,90.0,
2 Worlds Premium Tinto,1,88.0,
2 Worlds Reserva Tinto,1,90.0,
2.3 Lafond Vineyard,1,88.0,
20,1,90.0,
20 Anos Tawny,2,89.0,2.8284271247461903
20 Barrels,5,90.2,1.9235384061671346
20 Barrels Limited Edition,3,86.0,5.5677643628300215
20 Barrels Limited Edition Peralillo Estate,1,91.0,
20 Months Barrel Aged Reserve,1,84.0,
20 Year Old Tawny,5,92.0,1.4142135623730967
20 Years Old Tawny,3,91.33333333333333,1.5275252316519452
20 Years Old White,1,94.0,
20 Years Tawny,1,92.0,
20 Years in the Shed with Bob at Bien Nacido,1,96.0,
20 yr. Baco Imperial Amontillado,1,92.0,
20-Year-Old Tawny,1,91.0,
20-Year-Old White,1,91.0,
20-Years Old Tawny,1,90.0,
20-Years-Old Tawny,4,89.75,1.2583057392117902
20/20,1,88.0,
200 Cestos,1,89.0,
200 Monges Reserva,1,91.0,
200 Monges Selección Especial Reserva,1,88.0,
2003 by Bollinger Brut,1,92.0,
202,3,88.66666666666667,3.055050463303895
20th Anniversary,1,88.0,
20th Anniversary Limited Edition 1/6600,1,87.0,
20th Anniversary Reserve,2,88.5,3.5355339059327378
21,2,90.0,4.242640687119285
21 Barriques,1,91.0,
21 Gables,2,90.0,0.0
21 Grams,1,93.0,
21▪12,1,88.0,
22,1,89.0,
22 Black,1,85.0,
2221 Terroir de Cantanhede,1,92.0,
234,5,83.0,2.23606797749979
24 Meses en Barrica,1,88.0,
24.4 Brix,1,84.0,
242,3,89.33333333333333,1.1547005383792526
24K Vineyard,1,87.0,
25 Anni,6,93.66666666666667,1.3662601021279455
25 Barricas,1,94.0,
25th Anniversary,3,89.33333333333333,1.5275252316519452
25th Anniversary J Cuvée,1,91.0,
25th Anniversary Reserve,1,89.0,
25th Vintage Rubino Super-Tuscan Style Blend,1,85.0,
26esimo I Brut,2,88.0,0.0
26th Anniversary,1,87.0,
2?R,1,92.0,
2A Rio Vista Vineyard,1,86.0,
2V Premium,1,91.0,
2nd Degree,1,84.0,
2nd Degree Medium Sweet,2,85.5,2.1213203435596424
3,3,87.33333333333333,0.5773502691896278
3 Bastards,1,83.0,
3 Brooms,2,89.5,0.7071067811865476
3 Carati,1,88.0,
3 Castas,7,86.42857142857143,0.9759000729485303
3 Castas Nature,1,85.0,
3 Castas Nature Rosé,1,85.0,
3 Clone,5,92.0,1.7320508075688785
3 Clones,2,89.0,1.4142135623730951
3 Crianzas,1,86.0,
3 Degrees of Riesling Sweet,1,86.0,
3 Dijon Clones,1,89.0,
3 Divas,1,89.0,
3 Generaciones,3,83.0,1.0
3 Generations,1,88.0,
3 Graces Blanc,1,88.0,
3 Horse Ranch Vineyard,1,83.0,
3 L,2,84.5,0.7071067811865476
3 Macabeus,1,86.0,
3 Meses en Barrica,1,85.0,
3 Naissances Terrasses du Larzac,1,90.0,
3 Puttonyos Aszú,1,87.0,
3 Rosé,1,89.0,
3 Sisters & A Brother,1,87.0,
3 Utin,1,88.0,
3 Vineyard,2,89.5,0.7071067811865476
3 de Valandraud,1,88.0,
3&4 Max Cuvée,1,91.0,
3-Clones,1,90.0,
3-D,2,93.0,2.8284271247461903
3-D Sparkling,1,90.0,
30 Anos Tawny,1,93.0,
30 Anos White,1,92.0,
30 Barricas Edición Limitada,1,90.0,
30 Year Old White,1,93.0,
30 Years Old Tawny,3,94.66666666666667,1.1547005383792526
30 Years Old White,1,94.0,
30 Years Tawny,1,93.0,
30 Years White,1,92.0,
30 Yr. Old Baco Imperial Oloroso,2,91.0,1.4142135623730951
30-Year-Old White,1,93.0,
300,1,90.0,
3055,2,85.0,1.4142135623730951
30th Anniversary Cuvée Burt Williams' Morning Dew Ranch,1,97.0,
30th Anniversary Cuvée Estate Vineyard,1,97.0,
314 Rosé Clone Select,1,81.0,
325 Anniversary,1,97.0,
33 Degrees North BDX Gracie Hill Vineyard,1,90.0,
33 Degrees North Gracie Hill Vineyard,2,85.5,4.949747468305833
"33 Degrees North Gracie Hill Vineyard, BDX",1,87.0,
"33 Degrees North Gracie Hill Vineyard, Dalla Collina",1,88.0,
33 de Dávalos,2,89.5,0.7071067811865476
337,3,87.66666666666667,2.516611478423585
3400 Premium,2,92.5,0.7071067811865476
347 Vineyards,3,85.0,1.7320508075688772
347 Vineyards Reserva,1,88.0,
35 South Land of Passion and Fantasy,1,84.0,
35th Anniversary,2,87.0,2.8284271247461903
35th Anniversary Reserve Mailbox Vineyard,1,88.0,
35° South Reserva,1,86.0,
365 Prosecco,1,87.0,
36m Metodo Classico,1,90.0,
37.2 Cuvee,1,92.0,
375ml,2,91.5,7.7781745930520225
39 Barricas,1,93.0,
3B Brut Nature Rosé,1,90.0,
3BB,1,89.0,
3C,1,85.0,
3CV,1,86.0,
3D,2,94.5,0.7071067811865476
3D Sparkling,1,91.0,
3rd Degree Late Harvest Sweet,1,86.0,
3rd Degree Sweet,1,88.0,
3rd Generation,1,87.0,
4,1,88.0,
4 B,1,91.0,
4 Boys Les Collines Vineyard,1,88.0,
4 Cépages,1,86.0,
4 Dijon Clones,1,90.0,
4 Eléments,1,92.0,
4 Grape Blend,3,83.0,1.0
4 Quatro Castas,2,89.0,1.4142135623730951
4 Reserva,1,89.0,
4 Vigne,1,87.0,
"4-2,A",2,88.0,0.0
40 Years,1,94.0,
40 Years Old Tawny,1,92.0,
40 Years Old White,1,91.0,
40-Year-Old White,1,93.0,
40-years Old Tawny,1,93.0,
4040,1,91.0,
40th Anniversary,1,92.0,
40th Anniversary Estate Grown,1,91.0,
42 NORTH Estate Bottled,1,85.0,
424,1,92.0,
424 Red Blend,1,90.0,
446,3,86.66666666666667,2.081665999466134
446 Single Vineyard,1,85.0,
45 Degrees,1,85.0,
459,1,94.0,
45th Anniversary,1,91.0,
45th Anniversary Reserve,1,90.0,
46 Parallelo Extra Dry,1,87.0,
47.5,1,84.0,
47.5 Degree,2,89.0,0.0
47.5 Degree Limited Release Syrah,1,85.0,
490 Metres,1,91.0,
4990 Reserve,2,91.5,0.7071067811865476
4B,4,87.5,0.5773502691896278
4M,3,84.66666666666667,0.5773502691896247
4or Extra Dry,2,86.0,0.0
5,1,89.0,
5 Block,1,82.0,
5 Blocks,2,86.5,0.7071067811865476
5 Blocks Wren and Temperance Hill,1,88.0,
5 Elemente,1,89.0,
5 Finca Reserva,1,83.0,
5 Finques Reserva,1,90.0,
5 Grammi Brut,2,88.0,0.0
5 Puttonyos Aszú,2,89.5,2.1213203435596424
5 Puttonyos Aszú Red Label,1,96.0,
5 Stelle,1,95.0,
5 Stelle Sfursat,1,91.0,
5 Viñas,1,84.0,
50 & 50,2,91.0,1.4142135623730951
50 Aniversario Virgen Blanca,1,82.0,
50 Vendemmia Riserva,1,88.0,
50 Year Old Vines,1,86.0,
50 Years of Adventures,1,89.0,
50% CH / 50% SEM,1,84.0,
50-50,1,87.0,
500 ml,3,88.33333333333333,2.88675134594813
500ml,11,88.18181818181819,1.887759614897079
505,6,84.0,1.2649110640673522
505 Esencia,3,84.0,1.0
